DOC9241 1:-0.646565 2:-0.482153 3:-0.294239 4:-0.0951789 5:-0.0611098 6:0.399434 7:0.178772 8:0.393864 9:-0.0951159 10:-0.424441 11:0.391945 12:0.336015 13:0.215539 14:0.49456 15:0.463974 16:-0.619866
DOC9242 1:-0.697427 2:-0.294063 3:-0.271539 4:-0.25094 5:-0.164941 6:0.217846 7:0.275126 8:0.400545 9:-0.194532 10:-0.455906 11:0.587312 12:0.275246 13:0.222129 14:0.492835 15:0.480878 16:-0.743653
DOC9243 1:-0.498751 2:-0.593613 3:-0.261995 4:-0.285542 5:-0.037513 6:0.428091 7:0.120803 8:0.344964 9:-0.0475021 10:-0.291155 11:0.518007 12:0.341946 13:0.168944 14:0.44987 15:0.553694 16:-0.732295
DOC9244 1:-0.485181 2:-0.411826 3:-0.316438 4:-0.24027 5:-0.173116 6:0.267551 7:0.180327 8:0.298519 9:-0.12947 10:-0.294995 11:0.309035 12:0.305729 13:-0.0299481 14:0.384325 15:0.620158 16:-0.678792
DOC9245 1:-0.595099 2:-0.510013 3:-0.4636 4:-0.363912 5:-0.0405599 6:0.431769 7:0.262658 8:0.455785 9:-0.0723072 10:-0.29357 11:0.453365 12:0.347799 13:0.134474 14:0.49269 15:0.516073 16:-0.719942
DOC9246 1:-0.505724 2:-0.734048 3:-0.431163 4:-0.209338 5:0.0656858 6:0.417814 7:0.0443435 8:0.300065 9:-0.0616116 10:-0.318939 11:0.590217 12:0.52698 13:0.191999 14:0.363669 15:0.539866 16:-0.470824
DOC9247 1:-0.576143 2:-0.486177 3:-0.34573 4:-0.218288 5:0.0387721 6:0.367899 7:0.16417 8:0.285005 9:-0.0540287 10:-0.206282 11:0.44875 12:0.431173 13:0.314027 14:0.442557 15:0.457224 16:-0.798518
DOC9248 1:-0.526215 2:-0.455069 3:-0.359707 4:-0.292321 5:-0.246943 6:0.453485 7:0.192642 8:0.385827 9:0.224267 10:-0.53214 11:0.721256 12:0.535166 13:0.239235 14:0.446592 15:0.672948 16:-0.716242
DOC9249 1:-0.561262 2:-0.625632 3:-0.474722 4:-0.0492374 5:-0.225354 6:0.267522 7:0.109008 8:0.443301 9:0.0572182 10:-0.183227 11:0.322941 12:0.280596 13:0.179835 14:0.469562 15:0.509775 16:-0.618964
DOC9250 1:-0.719392 2:-0.410052 3:-0.503931 4:-0.302384 5:-0.138933 6:0.420452 7:0.198816 8:0.33765 9:0.127557 10:-0.459045 11:0.312658 12:0.33295 13:0.14257 14:0.525865 15:0.367162 16:-0.865455
DOC9251 1:-0.455204 2:-0.421206 3:-0.36527 4:-0.382477 5:-0.040699 6:0.233421 7:0.292082 8:0.690164 9:-0.197206 10:-0.539017 11:0.504853 12:0.413989 13:0.239067 14:0.577073 15:0.472127 16:-0.626163
DOC9252 1:-0.56969 2:-0.635235 3:-0.28254 4:-0.452113 5:0.0914263 6:0.4822 7:0.11854 8:0.299706 9:-0.0656389 10:-0.450148 11:0.214225 12:0.259055 13:0.126309 14:0.213663 15:0.4313 16:-0.709515
DOC9253 1:-0.658447 2:-0.339817 3:-0.40282 4:-0.21751 5:-0.0197604 6:0.336072 7:0.171869 8:0.509151 9:-0.181413 10:-0.372786 11:0.419698 12:0.429003 13:0.104445 14:0.378776 15:0.55946 16:-0.764273
DOC9254 1:-0.704212 2:-0.484954 3:-0.487705 4:-0.257149 5:-0.0797098 6:0.340513 7:0.210769 8:0.479851 9:-0.206264 10:-0.261226 11:0.557039 12:0.315164 13:-0.0329987 14:0.400151 15:0.521471 16:-0.854968
DOC9255 1:-0.545124 2:-0.440239 3:-0.375279 4:-0.27454 5:-0.141674 6:0.28168 7:0.183095 8:0.568236 9:-0.0593489 10:-0.276288 11:0.631154 12:0.291216 13:0.177332 14:0.456157 15:0.55045 16:-0.762091
DOC9256 1:-0.872591 2:-0.439227 3:-0.423954 4:-0.131288 5:-0.1151 6:0.252393 7:0.129101 8:0.359939 9:-0.0416377 10:-0.335008 11:0.472665 12:0.347806 13:0.36377 14:0.388432 15:0.485447 16:-0.474086
DOC9257 1:-0.596481 2:-0.559074 3:-0.240049 4:-0.355161 5:-0.0424999 6:0.238288 7:0.182496 8:0.357604 9:-0.0328464 10:-0.29673 11:0.463818 12:0.217101 13:0.185459 14:0.4134 15:0.363398 16:-0.763764
DOC9258 1:-0.576995 2:-0.418346 3:-0.431392 4:-0.169115 5:-0.194474 6:0.276064 7:0.134682 8:0.15964 9:-0.1684 10:-0.324413 11:0.526001 12:0.276156 13:0.028817 14:0.415201 15:0.541382 16:-0.698216
DOC9259 1:-0.550816 2:-0.647935 3:-0.552709 4:-0.160343 5:-0.0260076 6:0.287211 7:0.263576 8:0.433954 9:-0.28221 10:-0.491931 11:0.432959 12:0.317363 13:0.186879 14:0.467458 15:0.416087 16:-0.835383
DOC9260 1:-0.726969 2:-0.29009 3:-0.350609 4:-0.260874 5:-0.0402861 6:0.647772 7:0.223492 8:0.294991 9:-0.0557508 10:-0.323104 11:0.464845 12:0.427177 13:0.26572 14:0.205481 15:0.50664 16:-0.546378
DOC9261 1:-0.627738 2:-0.353973 3:-0.391203 4:-0.292106 5:-0.119933 6:0.416678 7:0.198128 8:0.64783 9:0.0691622 10:-0.342765 11:0.655924 12:0.391802 13:0.320969 14:0.468807 15:0.544517 16:-0.769157
DOC9262 1:-0.656752 2:-0.481041 3:-0.206751 4:0.00300055 5:-0.0767754 6:0.441892 7:0.187434 8:0.58352 9:-0.118647 10:-0.478342 11:0.636623 12:0.413628 13:0.222156 14:0.412942 15:0.644731 16:-0.768712
DOC9263 1:-0.568006 2:-0.589152 3:-0.420718 4:-0.308112 5:-0.354973 6:0.268961 7:0.349067 8:0.335804 9:-0.100446 10:-0.414649 11:0.342143 12:0.273142 13:0.0116436 14:0.403401 15:0.579719 16:-0.674635
DOC9264 1:-0.590627 2:-0.625487 3:-0.458114 4:-0.297306 5:-0.160322 6:0.314221 7:0.0255336 8:0.655679 9:-0.189773 10:-0.523842 11:0.487691 12:0.337724 13:0.0995189 14:0.272255 15:0.494695 16:-0.779215
DOC9265 1:-0.594862 2:-0.427744 3:-0.368008 4:-0.0878359 5:-0.32083 6:0.258499 7:0.150842 8:0.458218 9:-0.184139 10:-0.383239 11:0.459169 12:0.439385 13:0.0571645 14:0.189358 15:0.525513 16:-0.603725
DOC9266 1:-0.623675 2:-0.516491 3:-0.338639 4:-0.36361 5:0.0321507 6:0.541731 7:0.0621541 8:0.422098 9:-0.110516 10:-0.368233 11:0.607769 12:0.3177 13:0.207758 14:0.461546 15:0.727527 16:-0.717289
DOC9267 1:-0.534913 2:-0.483343 3:-0.389928 4:-0.181734 5:-0.101799 6:0.405841 7:0.288104 8:0.357343 9:0.0784809 10:-0.448526 11:0.38873 12:0.328814 13:0.141035 14:0.402497 15:0.608324 16:-0.72204
DOC9268 1:-0.601269 2:-0.541401 3:-0.386728 4:-0.296818 5:-0.0380005 6:0.421431 7:0.167232 8:0.309423 9:-0.316028 10:-0.534811 11:0.470451 12:0.282975 13:0.00536503 14:0.393202 15:0.585275 16:-0.779848
DOC9269 1:-0.721279 2:-0.560875 3:-0.229737 4:-0.430996 5:-0.191014 6:0.611288 7:0.0839891 8:0.459206 9:0.0603486 10:-0.339724 11:0.4309 12:0.165967 13:-0.0765799 14:0.543738 15:0.479202 16:-0.721673
DOC9270 1:-0.759204 2:-0.518196 3:-0.286504 4:-0.361318 5:-0.0190892 6:0.475556 7:0.0365703 8:0.491862 9:0.00788729 10:-0.421633 11:0.498785 12:0.274784 13:0.127268 14:0.233313 15:0.457336 16:-0.861702
DOC9271 1:-0.549415 2:-0.577379 3:-0.356347 4:-0.423902 5:-0.00941888 6:0.3927 7:0.170154 8:0.19319 9:-0.161059 10:-0.373489 11:0.481575 12:0.187943 13:0.20237 14:0.632895 15:0.453078 16:-0.823099
DOC9272 1:-0.521705 2:-0.504644 3:-0.358709 4:-0.337228 5:-0.154295 6:0.288281 7:0.245387 8:0.349305 9:-0.140537 10:-0.302762 11:0.502257 12:0.309097 13:0.259824 14:0.534261 15:0.432587 16:-0.763934
DOC9273 1:-0.862904 2:-0.389011 3:-0.372252 4:-0.341258 5:-0.102515 6:0.393787 7:0.0525995 8:0.358552 9:-0.195948 10:-0.525262 11:0.286502 12:0.288399 13:0.267581 14:0.337451 15:0.428336 16:-0.719677
DOC9274 1:-0.503815 2:-0.460398 3:-0.252169 4:-0.175634 5:-0.152597 6:0.489469 7:0.233635 8:0.329106 9:0.0903441 10:-0.441468 11:0.615281 12:0.477121 13:0.373648 14:0.322831 15:0.391613 16:-0.695633
DOC9275 1:-0.656841 2:-0.380598 3:-0.395515 4:-0.34269 5:-0.110738 6:0.263604 7:0.221244 8:0.417963 9:-0.00202439 10:-0.358731 11:0.441101 12:0.217326 13:0.20645 14:0.335183 15:0.421578 16:-0.608114
DOC9276 1:-0.652756 2:-0.554152 3:-0.250335 4:-0.235938 5:-0.109712 6:0.461941 7:0.273697 8:0.220116 9:-0.253347 10:-0.475166 11:0.429241 12:0.205688 13:0.0280185 14:0.255113 15:0.486032 16:-0.758067
DOC9277 1:-0.524789 2:-0.541139 3:-0.26821 4:-0.189367 5:0.0602897 6:0.487094 7:0.210751 8:0.381264 9:0.00100853 10:-0.33128 11:0.306992 12:0.305494 13:0.196331 14:0.269357 15:0.4119 16:-0.78955
DOC9278 1:-0.505556 2:-0.46275 3:-0.239364 4:-0.277609 5:-0.0649812 6:0.252934 7:0.244842 8:0.308074 9:0.0189927 10:-0.415316 11:0.208783 12:0.328172 13:0.286422 14:0.240052 15:0.533642 16:-0.718599
DOC9279 1:-0.546374 2:-0.507644 3:-0.547986 4:-0.215603 5:0.138402 6:0.327603 7:0.259349 8:0.364131 9:-0.185845 10:-0.423511 11:0.433932 12:0.361138 13:0.0572518 14:0.425574 15:0.512633 16:-0.560601
DOC9280 1:-0.51788 2:-0.550363 3:-0.350354 4:-0.313696 5:0.02613 6:0.372761 7:0.148588 8:0.506586 9:-0.293446 10:-0.359352 11:0.511109 12:0.306758 13:0.121126 14:0.352069 15:0.540764 16:-0.547878
DOC9281 1:-0.750778 2:-0.442551 3:-0.190378 4:-0.0327165 5:-0.0783679 6:0.439738 7:0.0432187 8:0.292047 9:0.0611483 10:-0.437805 11:0.4809 12:0.456362 13:0.257152 14:0.240254 15:0.562459 16:-0.736963
DOC9282 1:-0.682569 2:-0.634918 3:-0.260971 4:-0.267547 5:-0.139987 6:0.357349 7:0.0751884 8:0.358967 9:0.131402 10:-0.287486 11:0.44226 12:0.397758 13:0.0372323 14:0.437091 15:0.580285 16:-0.730035
DOC9283 1:-0.534451 2:-0.560616 3:-0.515989 4:-0.36572 5:-0.0183632 6:0.251946 7:0.264955 8:0.415678 9:-0.0507826 10:-0.460298 11:0.436811 12:0.387448 13:0.144122 14:0.289025 15:0.56932 16:-0.638949
DOC9284 1:-0.501197 2:-0.436186 3:-0.319867 4:-0.245619 5:-0.226495 6:0.355682 7:0.232659 8:0.315808 9:-0.0947891 10:-0.248413 11:0.602266 12:0.527219 13:0.270409 14:0.316765 15:0.215556 16:-0.580299
DOC9285 1:-0.565362 2:-0.514093 3:-0.204109 4:-0.111814 5:-0.108446 6:0.142436 7:0.0621936 8:0.397856 9:0.072022 10:-0.409324 11:0.333082 12:0.36843 13:0.182679 14:0.299739 15:0.40055 16:-0.867965
DOC9286 1:-0.52138 2:-0.478693 3:-0.430451 4:-0.222719 5:0.0705853 6:0.307448 7:0.0949994 8:0.472834 9:-0.0429987 10:-0.460903 11:0.433856 12:0.415723 13:0.321747 14:0.274093 15:0.563471 16:-0.722518
DOC9287 1:-0.690886 2:-0.51092 3:-0.220079 4:-0.258487 5:-0.19909 6:0.421455 7:0.15979 8:0.360281 9:-0.122406 10:-0.222344 11:0.426701 12:0.420323 13:0.243585 14:0.567109 15:0.346561 16:-0.752197
DOC9288 1:-0.419837 2:-0.349586 3:-0.129131 4:-0.202103 5:-0.130077 6:0.513939 7:0.0408669 8:0.393746 9:-0.120552 10:-0.408534 11:0.48176 12:0.362801 13:0.234608 14:0.562059 15:0.644317 16:-0.59343
DOC9289 1:-0.706176 2:-0.453697 3:-0.158063 4:-0.235865 5:-0.0229635 6:0.55544 7:0.290218 8:0.461355 9:-0.06963 10:-0.379288 11:0.457747 12:0.425962 13:0.262776 14:0.445729 15:0.390689 16:-0.870612
DOC9290 1:-0.65799 2:-0.574673 3:-0.446297 4:-0.142011 5:-0.0283374 6:0.449863 7:0.305166 8:0.246724 9:-0.0727866 10:-0.417158 11:0.463922 12:0.279821 13:0.0322564 14:0.34426 15:0.604774 16:-0.627479
DOC9291 1:-0.838977 2:-0.408691 3:-0.518807 4:-0.180989 5:-0.243368 6:0.42014 7:0.0507346 8:0.422832 9:-0.00851502 10:-0.465562 11:0.519408 12:0.459534 13:0.116125 14:0.411849 15:0.360261 16:-0.806728
DOC9292 1:-0.758727 2:-0.535973 3:-0.347993 4:-0.300676 5:0.0763619 6:0.116371 7:0.218836 8:0.459878 9:-0.135044 10:-0.212171 11:0.338836 12:0.584211 13:0.25277 14:0.337868 15:0.374487 16:-0.558229
DOC9293 1:-0.589274 2:-0.524668 3:-0.465314 4:-0.202949 5:-0.208158 6:0.159255 7:0.170307 8:0.337207 9:0.0139658 10:-0.416864 11:0.359456 12:0.381046 13:0.321589 14:0.39266 15:0.756961 16:-0.79911
DOC9294 1:-0.662492 2:-0.308272 3:-0.347861 4:-0.314543 5:-0.187757 6:0.494909 7:0.224934 8:0.37557 9:-0.084346 10:-0.475033 11:0.476909 12:0.435998 13:0.205509 14:0.371962 15:0.413991 16:-0.942339
DOC9295 1:-0.658924 2:-0.416002 3:-0.307469 4:-0.190477 5:-0.0781701 6:0.469171 7:0.387187 8:0.243053 9:-0.245539 10:-0.403127 11:0.420744 12:0.203099 13:0.138522 14:0.444331 15:0.430161 16:-0.824884
DOC9296 1:-0.529962 2:-0.589384 3:-0.200099 4:-0.31772 5:-0.0947731 6:0.558097 7:0.331553 8:0.440723 9:-0.139602 10:-0.430148 11:0.470245 12:0.275634 13:-0.0801652 14:0.40648 15:0.667575 16:-0.881233
DOC9297 1:-0.453689 2:-0.420837 3:-0.276693 4:-0.213678 5:-0.0776265 6:0.34519 7:0.154279 8:0.371586 9:-0.0638269 10:-0.444533 11:0.347342 12:0.441459 13:0.19603 14:0.303096 15:0.520647 16:-0.940891
DOC9298 1:-0.772715 2:-0.509833 3:-0.36256 4:-0.334478 5:-0.0468483 6:0.42278 7:0.115557 8:0.575349 9:-0.00374564 10:-0.353346 11:0.542985 12:0.374852 13:0.162839 14:0.396054 15:0.495165 16:-0.549287
DOC9299 1:-0.710205 2:-0.47254 3:-0.198165 4:-0.0996719 5:-0.0307842 6:0.26878 7:0.241954 8:0.257976 9:0.0627749 10:-0.551693 11:0.336331 12:0.352995 13:0.146884 14:0.542101 15:0.436152 16:-0.860375
DOC9300 1:-0.999675 2:-0.669997 3:-0.42554 4:-0.212786 5:0.103631 6:0.489159 7:0.106083 8:0.358228 9:0.10689 10:-0.415857 11:0.464704 12:0.252527 13:0.212465 14:0.253848 15:0.496726 16:-0.92881
DOC9301 1:-0.469556 2:-0.539689 3:-0.361164 4:-0.242405 5:-0.144107 6:0.453014 7:0.147217 8:0.341894 9:-0.0858967 10:-0.421165 11:0.48253 12:0.346311 13:0.256545 14:0.472055 15:0.569592 16:-0.813785
DOC9302 1:-0.65339 2:-0.353649 3:-0.231304 4:-0.191401 5:-0.0819454 6:0.327996 7:0.166936 8:0.337432 9:-0.245415 10:-0.366339 11:0.494102 12:0.200044 13:0.0317585 14:0.480089 15:0.590204 16:-0.643528
DOC9303 1:-0.653067 2:-0.718322 3:-0.389901 4:-0.112901 5:-0.181791 6:0.396339 7:0.382981 8:0.271527 9:-0.180379 10:-0.367076 11:0.44606 12:0.338228 13:0.259629 14:0.365884 15:0.610089 16:-0.733317
DOC9304 1:-0.387322 2:-0.536801 3:-0.466425 4:-0.188507 5:-0.100152 6:0.377793 7:0.0792399 8:0.427872 9:-0.216107 10:-0.313744 11:0.523399 12:0.371503 13:0.241913 14:0.529438 15:0.625786 16:-0.924898
DOC9305 1:-0.771923 2:-0.566892 3:-0.237854 4:-0.385948 5:-0.103164 6:0.490059 7:0.219121 8:0.348669 9:0.109875 10:-0.488192 11:0.31663 12:0.4221 13:0.0913173 14:0.346507 15:0.582558 16:-0.835626
DOC9306 1:-0.462162 2:-0.559329 3:-0.574138 4:-0.176935 5:0.0384435 6:0.301343 7:0.222264 8:0.346661 9:0.0672958 10:-0.340645 11:0.218718 12:0.350438 13:0.0821867 14:0.468128 15:0.598015 16:-0.582294
DOC9307 1:-0.667359 2:-0.485886 3:-0.191918 4:-0.21891 5:-0.0389961 6:0.280167 7:0.261511 8:0.33445 9:-0.0295541 10:-0.281111 11:0.542281 12:0.473605 13:0.189228 14:0.351316 15:0.739641 16:-0.611401
DOC9308 1:-0.501662 2:-0.528615 3:-0.34902 4:-0.328961 5:-0.0885256 6:0.281605 7:0.374707 8:0.303383 9:-0.229884 10:-0.277029 11:0.301885 12:0.267201 13:0.212434 14:0.335865 15:0.328521 16:-0.736745
DOC9309 1:-0.59555 2:-0.67831 3:-0.26133 4:-0.185212 5:-0.0209548 6:0.541126 7:0.175046 8:0.485484 9:-0.109982 10:-0.358502 11:0.572702 12:0.424146 13:0.25033 14:0.388301 15:0.469248 16:-0.656387
DOC9310 1:-0.440976 2:-0.631793 3:-0.394565 4:-0.113631 5:-0.0315506 6:0.349977 7:0.221746 8:0.327626 9:-0.126232 10:-0.433242 11:0.508117 12:0.39676 13:0.0829202 14:0.322703 15:0.496463 16:-0.835082
DOC9311 1:-0.649723 2:-0.461849 3:-0.275424 4:-0.229452 5:0.0936106 6:0.422515 7:0.171785 8:0.471097 9:-0.213103 10:-0.61501 11:0.255247 12:0.49205 13:0.218339 14:0.643747 15:0.428014 16:-0.783256
DOC9312 1:-0.653863 2:-0.370841 3:-0.250445 4:-0.481648 5:-0.0956171 6:0.307921 7:0.155526 8:0.410859 9:-0.16212 10:-0.460494 11:0.661382 12:0.333254 13:0.0703135 14:0.434684 15:0.559527 16:-0.775649
DOC9313 1:-0.579916 2:-0.562603 3:-0.239193 4:-0.375843 5:0.0912729 6:0.393544 7:0.300223 8:0.346926 9:-0.181384 10:-0.336896 11:0.436276 12:0.408756 13:0.281961 14:0.291419 15:0.431339 16:-0.648089
DOC9314 1:-0.406503 2:-0.557618 3:-0.208643 4:-0.221946 5:-0.0565342 6:0.553378 7:0.212828 8:0.462605 9:0.113128 10:-0.370077 11:0.527024 12:0.253716 13:0.0475495 14:0.330083 15:0.396141 16:-0.84934
DOC9315 1:-0.758921 2:-0.574324 3:-0.27044 4:-0.234609 5:-0.0476404 6:0.268474 7:0.143004 8:0.526234 9:0.115752 10:-0.235968 11:0.500057 12:0.365493 13:0.193414 14:0.436012 15:0.487954 16:-0.656624
DOC9316 1:-0.570686 2:-0.445877 3:-0.319872 4:-0.240933 5:-0.0971955 6:0.370339 7:-0.0044731 8:0.396652 9:-0.0832223 10:-0.275126 11:0.467629 12:0.314153 13:0.0235129 14:0.413632 15:0.264361 16:-0.72786
DOC9317 1:-0.68293 2:-0.534994 3:-0.248938 4:-0.00131295 5:-0.0652822 6:0.373557 7:0.175087 8:0.474318 9:-0.0101947 10:-0.470989 11:0.399754 12:0.203666 13:0.127412 14:0.420983 15:0.521041 16:-0.642299
DOC9318 1:-0.437346 2:-0.465305 3:-0.29809 4:-0.281955 5:-0.096016 6:0.355484 7:0.0557458 8:0.203106 9:-0.137134 10:-0.369318 11:0.26005 12:0.542852 13:0.0457806 14:0.555784 15:0.641817 16:-0.66713
DOC9319 1:-0.673029 2:-0.542989 3:-0.217867 4:-0.199337 5:-0.135048 6:0.410202 7:0.205298 8:0.293007 9:-0.115467 10:-0.397408 11:0.594339 12:0.293425 13:0.18405 14:0.283569 15:0.495049 16:-0.696942
DOC9320 1:-0.544992 2:-0.656456 3:-0.33672 4:-0.109809 5:0.00316937 6:0.201346 7:0.218601 8:0.555732 9:-0.101976 10:-0.39941 11:0.321781 12:0.32044 13:0.0620293 14:0.391699 15:0.591107 16:-0.694072
DOC9321 1:-0.506573 2:-0.572989 3:-0.359331 4:-0.277203 5:-0.0384201 6:0.484598 7:0.286344 8:0.308128 9:-0.242368 10:-0.414509 11:0.3364 12:0.462557 13:0.0584992 14:0.410464 15:0.540886 16:-0.563973
DOC9322 1:-0.661827 2:-0.374799 3:-0.346327 4:-0.145083 5:-0.0492886 6:0.351691 7:0.0903723 8:0.305947 9:-0.117014 10:-0.294841 11:0.490513 12:0.328092 13:0.00459927 14:0.366917 15:0.540407 16:-0.650832
DOC9323 1:-0.585873 2:-0.359026 3:-0.422647 4:-0.121664 5:-0.0769178 6:0.236581 7:0.299439 8:0.300247 9:0.0506868 10:-0.449446 11:0.291662 12:0.353178 13:0.0951572 14:0.378423 15:0.407503 16:-0.75516
DOC9324 1:-0.627413 2:-0.529555 3:-0.353974 4:-0.191542 5:-0.127965 6:0.46342 7:0.160892 8:0.521685 9:0.0798716 10:-0.218176 11:0.56935 12:0.280073 13:-0.0182904 14:0.465866 15:0.548369 16:-0.83922
DOC9325 1:-0.487302 2:-0.48646 3:-0.408549 4:-0.134069 5:-0.122288 6:0.298218 7:0.0761246 8:0.295852 9:-0.115602 10:-0.483694 11:0.49398 12:0.261272 13:0.105081 14:0.464075 15:0.505939 16:-0.693351
DOC9326 1:-0.476242 2:-0.676514 3:-0.336887 4:-0.201225 5:-0.0154939 6:0.212714 7:0.276772 8:0.275594 9:-0.238269 10:-0.337741 11:0.260461 12:0.263039 13:-0.0346947 14:0.194378 15:0.541878 16:-0.82775
DOC9327 1:-0.825805 2:-0.475783 3:-0.255028 4:-0.305049 5:-0.208365 6:0.52805 7:0.0423265 8:0.404098 9:0.178867 10:-0.340136 11:0.511809 12:0.234296 13:0.23749 14:0.378585 15:0.255774 16:-0.734457
DOC9328 1:-0.574957 2:-0.451449 3:-0.386108 4:-0.209806 5:-0.225803 6:0.429561 7:0.304176 8:0.48755 9:-0.0547004 10:-0.28065 11:0.496272 12:0.430974 13:0.156177 14:0.36339 15:0.445363 16:-0.569282
DOC9329 1:-0.600862 2:-0.627392 3:-0.479848 4:-0.342044 5:-0.0808163 6:0.380831 7:0.214691 8:0.562016 9:0.0934561 10:-0.159407 11:0.359194 12:0.447119 13:0.196434 14:0.333139 15:0.709122 16:-0.793423
DOC9330 1:-0.638196 2:-0.414281 3:-0.444703 4:-0.193222 5:-0.180824 6:0.401825 7:0.184551 8:0.473779 9:-0.0518789 10:-0.423167 11:0.433083 12:0.170264 13:0.00902718 14:0.332189 15:0.459862 16:-0.731425
DOC9331 1:-0.586696 2:-0.404748 3:-0.214542 4:-0.199517 5:0.024664 6:0.462364 7:0.282137 8:0.189049 9:-0.236203 10:-0.433978 11:0.493419 12:0.254222 13:0.212077 14:0.437883 15:0.583061 16:-0.710093
DOC9332 1:-0.452102 2:-0.520471 3:-0.246258 4:-0.263584 5:-0.0374449 6:0.386476 7:0.080453 8:0.350494 9:0.0514902 10:-0.446296 11:0.390884 12:0.296493 13:0.168658 14:0.435293 15:0.230014 16:-0.896374
DOC9333 1:-0.570284 2:-0.513615 3:-0.267418 4:-0.222818 5:0.0430812 6:0.403523 7:0.158297 8:0.480627 9:0.0987039 10:-0.307881 11:0.555781 12:0.34779 13:0.027714 14:0.258998 15:0.337759 16:-0.644851
DOC9334 1:-0.409896 2:-0.518116 3:-0.300901 4:-0.134403 5:-0.108734 6:0.239881 7:-0.0253787 8:0.0914766 9:-0.0658934 10:-0.507731 11:0.433866 12:0.36496 13:0.194771 14:0.398678 15:0.596275 16:-0.884595
DOC9335 1:-0.506182 2:-0.587745 3:-0.398878 4:-0.286069 5:-0.0060025 6:0.403266 7:0.346085 8:0.440096 9:-0.154574 10:-0.425488 11:0.471405 12:0.405584 13:0.204297 14:0.520809 15:0.368062 16:-0.680268
DOC9336 1:-0.778574 2:-0.426307 3:-0.454052 4:-0.0599549 5:-0.147772 6:0.429149 7:0.401814 8:0.402852 9:-0.209638 10:-0.40287 11:0.432408 12:0.393845 13:0.162481 14:0.325322 15:0.54072 16:-0.604731
DOC9337 1:-0.484639 2:-0.422714 3:-0.26483 4:-0.228101 5:-0.149233 6:0.314292 7:0.166628 8:0.434976 9:-0.147096 10:-0.358718 11:0.479964 12:0.32506 13:0.0979471 14:0.327351 15:0.418271 16:-0.836585
DOC9338 1:-0.506634 2:-0.444716 3:-0.101274 4:-0.322243 5:0.038913 6:0.238311 7:0.245974 8:0.352742 9:-0.0756403 10:-0.204159 11:0.385534 12:0.431499 13:0.12164 14:0.227586 15:0.521795 16:-0.85989
DOC9339 1:-0.61318 2:-0.472681 3:-0.470843 4:-0.221814 5:-0.207308 6:0.366557 7:0.0623109 8:0.573052 9:-0.06282 10:-0.426821 11:0.364535 12:0.454297 13:0.169988 14:0.388136 15:0.651264 16:-0.702378
DOC9340 1:-0.518625 2:-0.367678 3:-0.398466 4:-0.269119 5:-0.0540021 6:0.422868 7:0.158579 8:0.316484 9:-0.146915 10:-0.320825 11:0.466507 12:0.223324 13:0.166399 14:0.554189 15:0.459 16:-0.808127
DOC9341 1:-0.503565 2:-0.604419 3:-0.450196 4:-0.192306 5:-0.00167004 6:0.491315 7:0.0956436 8:0.448824 9:-0.182254 10:-0.458171 11:0.435123 12:0.16604 13:0.163509 14:0.407819 15:0.519225 16:-0.712045
DOC9342 1:-0.803388 2:-0.545224 3:-0.35942 4:-0.41122 5:-0.0672614 6:0.386172 7:0.24764 8:0.239959 9:-0.0118379 10:-0.305941 11:0.3753 12:0.290851 13:0.0819104 14:0.645389 15:0.640429 16:-0.877763
DOC9343 1:-0.571476 2:-0.484628 3:-0.311497 4:-0.16342 5:-0.125902 6:0.495996 7:0.187839 8:0.348619 9:0.00999305 10:-0.424724 11:0.326319 12:0.333861 13:0.112901 14:0.500356 15:0.522546 16:-0.650309
DOC9344 1:-0.538998 2:-0.615017 3:-0.253849 4:-0.219668 5:-0.0544768 6:0.376894 7:0.0307477 8:0.517425 9:-0.176011 10:-0.322173 11:0.253566 12:0.356225 13:0.127159 14:0.272523 15:0.477317 16:-0.684925
DOC9345 1:-0.448022 2:-0.570837 3:-0.640164 4:-0.213053 5:-0.0534861 6:0.334046 7:0.163399 8:0.700836 9:0.0138685 10:-0.570252 11:0.516006 12:0.454137 13:0.252476 14:0.24693 15:0.415033 16:-0.725238
DOC9346 1:-0.511047 2:-0.514014 3:-0.1464 4:-0.218136 5:0.090169 6:0.358849 7:0.0571693 8:0.401943 9:-0.0809611 10:-0.239513 11:0.362312 12:0.33247 13:0.150585 14:0.164801 15:0.516804 16:-0.695235
DOC9347 1:-0.651487 2:-0.453161 3:-0.449783 4:-0.01114 5:-0.154232 6:0.354524 7:0.315199 8:0.375851 9:-0.0275239 10:-0.529352 11:0.52964 12:0.269706 13:0.106053 14:0.318979 15:0.348995 16:-0.934243
DOC9348 1:-0.622264 2:-0.393182 3:-0.288492 4:-0.181949 5:-0.0653033 6:0.380416 7:0.122781 8:0.377065 9:-0.0343916 10:-0.279475 11:0.437917 12:0.379648 13:0.196942 14:0.351633 15:0.615857 16:-0.651865
DOC9349 1:-0.790573 2:-0.506149 3:-0.568246 4:-0.159468 5:-0.131653 6:0.527267 7:-0.0121173 8:0.486591 9:-0.0389109 10:-0.257286 11:0.455359 12:0.244844 13:0.113816 14:0.310375 15:0.446123 16:-0.86715
DOC9350 1:-0.492207 2:-0.476102 3:-0.472697 4:-0.313772 5:0.12094 6:0.432193 7:0.224504 8:0.381197 9:-0.12242 10:-0.346832 11:0.437951 12:0.378484 13:0.332598 14:0.33537 15:0.590126 16:-0.934271
